Name,Rank,Number
Jones,1,775
Smith,2,740
Williams,3,552
Davies,4,366
Taylor,5,356
Brown,6,348
Evans,7,308
Thomas,8,288
Roberts,9,251
Johnson,10,238
Turner,11,224
Robinson,12,216
Wilson,13,202
White,14,201
Lewis,15,192
Thompson,16,192
Hughes,17,189
Wood,18,187
Jackson,19,185
Hall,20,182
Walker,21,181
Green,22,177
Cooper,23,172
Edwards,24,168
Wright,25,167
Clark,26,155
Harris,27,153
Harrison,28,153
Martin,29,140
Morris,30,140
Davis,31,138
Baker,32,134
James,33,132
Ward,34,131
Hill,35,130
Clarke,36,129
Phillips,37,125
Allen,38,123
Morgan,39,123
Parker,40,122
Moore,41,120
Mitchell,42,118
Bennett,43,116
Cook,44,112
Scott,45,111
Price,46,108
Carter,47,107
Ellis,48,107
Lee,49,107
King,50,105
Wilkinson,51,105
Young,52,105
Griffiths,53,100
Watson,54,100
Richardson,55,98
Marshall,56,95
Cox,57,94
Shaw,58,94
Jenkins,59,93
Richards,60,93
Mills,61,92
Miller,62,91
Palmer,63,91
Owen,64,90
Simpson,65,90
Adams,66,89
Dixon,67,89
Bell,68,88
Matthews,69,88
Rogers,70,88
Webb,71,86
Barnes,72,85
Collins,73,85
Bailey,74,84
Knight,75,84
Mason,76,83
Booth,77,82
Foster,78,81
Hunt,79,79
Powell,80,79
Barker,81,78
Chapman,82,78
Stevens,83,77
Holmes,84,76
Howard,85,75
Dawson,86,74
Fletcher,87,74
Lloyd,88,74
West,89,71
Fisher,90,67
Harvey,91,67
Hudson,92,67
Elliott,93,66
Gibson,94,66
Pearce,95,66
Pearson,96,66
Rees,97,65
Watts,98,65
Reynolds,99,64
Burton,100,61
Hart,101,61
Lane,102,60
Atkinson,103,58
Cole,104,58
Day,105,58
Brooks,106,57
Russell,107,57
Ball,108,56
Fox,109,56
Gray,110,56
Owens,111,56
Page,112,56
Parsons,113,56
Saunders,114,56
Bradley,115,55
Riley,116,55
Butler,117,54
Spencer,118,54
Berry,119,53
Cooke,120,53
Holland,121,53
George,122,52
Reed,123,52
Shepherd,124,52
Andrews,125,51
Dean,126,51
Hodgson,127,51
May,128,51
Whitehead,129,51
Greenwood,130,50
Bird,131,49
Dunn,132,49
Ford,133,48
Gregory,134,48
Parry,135,48
Warren,136,48
Webster,137,48
Armstrong,138,47
Holt,139,47
Nicholson,140,47
Sharp,141,47
Barrett,142,46
Carr,143,46
Payne,144,46
Hartley,145,45
Hayward,146,45
Oliver,147,45
Wells,148,45
Bates,149,44
Cross,150,44
Freeman,151,44
Gill,152,44
Lowe,153,44
Newman,154,44
Perry,155,44
Rowe,156,44
Sanders,157,44
Walton,158,44
Hawkins,159,43
Robson,160,43
Stone,161,43
Sutton,162,43
Watkins,163,43
Williamson,164,43
Yates,165,43
Gardner,166,42
Goodwin,167,42
Harding,168,42
Kelly,169,42
Lambert,170,42
Murphy,171,42
Porter,172,42
Bishop,173,41
Francis,174,41
Pratt,175,41
Stephenson,176,41
Woods,177,41
Barlow,178,40
Lord,179,40
Moss,180,40
Newton,181,40
Thornton,182,40
Burgess,183,39
Butterworth,184,39
Hayes,185,39
Lawrence,186,39
Rhodes,187,39
Stephens,188,39
French,189,38
Jennings,190,38
Kay,191,38
Long,192,38
Waters,193,38
Anderson,194,37
Curtis,195,37
Field,196,37
Hammond,197,37
Read,198,37
Schofield,199,37
Wild,200,37
Barber,201,36
Briggs,202,36
Hardy,203,36
Hewitt,204,36
Hooper,205,36
Slater,206,36
Wheeler,207,36
Abbott,208,35
Bartlett,209,35
Gilbert,210,35
Heath,211,35
Middleton,212,35
Chambers,213,34
Harper,214,34
Hutchinson,215,34
Kemp,216,34
Miles,217,34
Tuck,218,34
Austin,219,33
Chadwick,220,33
Coates,221,33
Coleman,222,33
Fowler,223,33
Graham,224,33
Grant,225,33
Hancock,226,33
Hopkins,227,33
Hunter,228,33
Jordan,229,33
Kent,230,33
Potter,231,33
Buckley,232,32
Burrows,233,32
Cartwright,234,32
Dodd,235,32
Howe,236,32
Knowles,237,32
Marsden,238,32
Nuttall,239,32
Rose,240,32
Bentley,241,31
Bowen,242,31
Brook,243,31
Frost,244,31
Hurst,245,31
Jarvis,246,31
Lamb,247,31
Marsh,248,31
Naylor,249,31
Skinner,250,31
Tomlinson,251,31
Ashworth,252,30
Bolton,253,30
Forster,254,30
Hilton,255,30
Hobbs,256,30
Nichols,257,30
Parkinson,258,30
Perkins,259,30
Stokes,260,30
Sykes,261,30
Todd,262,30
Wade,263,30
Welch,264,30
Willis,265,30
Ashton,266,29
Clayton,267,29
Dobson,268,29
Howell,269,29
Lucas,270,29
Norris,271,29
Reeves,272,29
Savage,273,29
Weston,274,29
Whitaker,275,29
Woodward,276,29
Betts,277,28
Blake,278,28
Butcher,279,28
Fielding,280,28
Glover,281,28
Hargreaves,282,28
Murray,283,28
Baldwin,284,27
Barnett,285,27
Barton,286,27
Dale,287,27
Griffin,288,27
Hicks,289,27
Hodges,290,27
Lees,291,27
Mellor,292,27
Preston,293,27
Steel,294,27
Sutcliffe,295,27
Vaughan,296,27
Whittaker,297,27
Archer,298,26
Baxter,299,26
Bond,300,26
Campbell,301,26
Clegg,302,26
Clements,303,26
Davey,304,26
Dyer,305,26
Gibbs,306,26
Howarth,307,26
Hyde,308,26
Nash,309,26
Poole,310,26
Pope,311,26
Crowther,312,25
Davison,313,25
Dickinson,314,25
Godfrey,315,25
Hale,316,25
Haynes,317,25
Holden,318,25
Little,319,25
Noble,320,25
Osborne,321,25
Simmons,322,25
Stevenson,323,25
Townsend,324,25
Wallis,325,25
Alexander,326,24
Brookes,327,24
Bullock,328,24
Goodman,329,24
Herbert,330,24
Horton,331,24
Howells,332,24
Ingham,333,24
Nicholls,334,24
Platt,335,24
Randall,336,24
Short,337,24
Stott,338,24
Swift,339,24
Walsh,340,24
Atkins,341,23
Beaumont,342,23
Blackburn,343,23
Bull,344,23
Faulkner,345,23
Giles,346,23
Haigh,347,23
Higgins,348,23
Mann,349,23
Manning,350,23
Morgans,351,23
Nelson,352,23
Osborn,353,23
Patterson,354,23
Reeve,355,23
Sharpe,356,23
Sims,357,23
Stewart,358,23
Waller,359,23
Woolley,360,23
Bradshaw,361,22
Bryant,362,22
Fuller,363,22
Goddard,364,22
Gould,365,22
Hardman,366,22
Haworth,367,22
Horn,368,22
Johns,369,22
Law,370,22
Lister,371,22
Neal,372,22
Norman,373,22
Paul,374,22
Pritchard,375,22
Rigby,376,22
Sanderson,377,22
Sheppard,378,22
Stead,379,22
Thorpe,380,22
Webber,381,22
Woodhead,382,22
Birch,383,21
Bowden,384,21
Bray,385,21
Chamberlain,386,21
Daniel,387,21
Davenport,388,21
Fitzgerald,389,21
Franklin,390,21
Gale,391,21
Gee,392,21
Gordon,393,21
Hallam,394,21
Hanson,395,21
Holloway,396,21
Kirby,397,21
Lawson,398,21
Morton,399,21
Norton,400,21
Peters,401,21
Pike,402,21
Simmonds,403,21
Street,404,21
Sullivan,405,21
Weaver,406,21
Wills,407,21
Banks,408,20
Charles,409,20
Collier,410,20
Eaton,411,20
France,412,20
Goodall,413,20
Harwood,414,20
Heywood,415,20
Latham,416,20
Lea,417,20
Mead,418,20
Moody,419,20
North,420,20
Peacock,421,20
Pickering,422,20
Pugh,423,20
Rowley,424,20
Underwood,425,20
Whittle,426,20
Wilkins,427,20
Armitage,428,19
Bacon,429,19
Bradbury,430,19
Coles,431,19
Draper,432,19
Dyson,433,19
Griffith,434,19
Heaton,435,19
Houghton,436,19
Humphreys,437,19
Jeffery,438,19
Knott,439,19
Massey,440,19
Morley,441,19
Nicholas,442,19
Ogden,443,19
Peck,444,19
Pollard,445,19
Rowland,446,19
Ryan,447,19
Smart,448,19
Snell,449,19
Wall,450,19
Walters,451,19
Whiting,452,19
Wyatt,453,19
Arnold,454,18
Bateman,455,18
Bryan,456,18
Connor,457,18
Crook,458,18
Davy,459,18
Duckworth,460,18
Edmonds,461,18
Finch,462,18
Fry,463,18
Garner,464,18
Hodson,465,18
John,466,18
Johnston,467,18
Kershaw,468,18
Masters,469,18
Mercer,470,18
Parkin,471,18
Ratcliffe,472,18
