Ethnicity,yan,ian,ić,mann,er,nen,ard,yev,ić,ák,sen,shvili,dze,New Column,New Column 02,New Column 03,New Column 04,New Column 05,New Column 06,New Column 07
alb,,,,,,,,,,,,,,,,,,,,
ang,,,,,er,,ard,,,,,,,,,,,,,
arm,yan,ian,,,,,,,,,,,,,,,,,,
azr,,,,,,,,yev,,,,,,,,,,,,
bsq,,,,,,,,,,,,,,,,,,,,
bul,,,,,,,,,,,,,,,,,,,,
cro,,,,,,,,,ić,,,,,,,,,,,
cze,,,,,,,,,,ák,,,,,,,,,,
dan,,,,,,,,,,,sen,,,,,,,,,
dch,,,,,er,,,,,,,,,,,,,,,
est,,,,,,,,,,,,,,,,,,,,
fin,,,,,,nen,,,,,,,,,,,,,,
fre,,,,,er,,ard,,,,,,,,,,,,,
gae,,,,,,,,,,,,,,,,,,,,
geo,,,,,,,,,,,,shvili,dze,,,,,,,
ger,,,,mann,er,,,,,,,,,,,,,,,
gre,,,,,,,,,,,,,,,,,,,,
hun,,,,,,,,,,,,,,,,,,,,
ice,,,,,,,,,,,,,,,,,,,,
ita,,,,,,,,,,,,,,,,,,,,
lat,,,,,,,,,,,,,,,,,,,,
lth,,,,,,,,,,,,,,,,,,,,
mlt,,,,,,,,,,,,,,,,,,,,
mol,,,,,,,,,,,,,,,,,,,,
pol,,,,,,,,,,,,,,,,,,,,
por,,,,,,,,,,,,,,,,,,,,
rom,,,,,,,,,,,,,,,,,,,,
rus,,,,,,,,,,,,,,,,,,,,
slk,,,,,,,,,,,,,,,,,,,,
spa,,,,,,,,,,,,,,,,,,,,
svn,,,,,,,,,,,,,,,,,,,,
swe,,,,,,,,,,,,,,,,,,,,
trk,,,,,,,,,,,,,,,,,,,,
ukr,,,,,,,,,,,,,,,,,,,,
wls,,,,,,,,,,,,,,,,,,,,
